correction_model,dataset,model,noise_type,data_coverage,fit_time (s),mse,mape,sample_size
LR,mnist,cusMLP,determ,0.1,0.013258695602416992,1.7885034e-19,2.633291e-10,46887
LR,mnist,cusMLP,determ,0.3,0.0019276142120361328,2.8000715e-18,1.1633072e-09,140662
LR,mnist,cusMLP,determ,0.5,0.002637147903442383,1.4643693e-17,3.1147325e-09,234437
LR,mnist,cusMLP,determ,0.7,0.003461599349975586,1.8873404e-19,3.0242145e-10,328211
LR,mnist,cusMLP,determ,0.9,0.004338979721069336,5.195344e-18,1.5578563e-09,421986
LR,mnist,cusMLP,determ,1.0,0.004866600036621094,1.3521091e-17,2.3483728e-09,468874
LR,cifar10,cusCNN,determ,0.1,0.004605770111083984,0.00021707389,0.00095595565,207290
LR,cifar10,cusCNN,determ,0.3,0.006084442138671875,0.00022401029,0.00096950255,621870
LR,cifar10,cusCNN,determ,0.5,0.010003089904785156,0.0002250683,0.00097143505,1036451
LR,cifar10,cusCNN,determ,0.7,0.013547897338867188,0.00022534144,0.00097273174,1451031
LR,cifar10,cusCNN,determ,0.9,0.022430896759033203,0.0002244105,0.0009703156,1865611
LR,cifar10,cusCNN,determ,1.0,0.019437789916992188,0.00022396525,0.0009694126,2072902
LR,cifar10,resnet18,determ,0.1,0.010861396789550781,2.0462311e-16,3.9328674e-09,1118164
LR,cifar10,resnet18,determ,0.3,0.04082489013671875,4.614971e-15,1.1575289e-08,3354492
LR,cifar10,resnet18,determ,0.5,0.12327003479003906,2.213053e-14,2.2524263e-08,5590821
LR,cifar10,resnet18,determ,0.7,0.15308809280395508,6.501339e-14,3.822446e-08,7827149
LR,cifar10,resnet18,determ,0.9,0.22921228408813477,1.3999446e-13,5.5042715e-08,10063477
LR,cifar10,resnet18,determ,1.0,0.2512221336364746,1.7839613e-13,6.242288e-08,11181642
LR,cifar100,cusCNN,determ,0.1,0.003192424774169922,1.8278613e-05,0.00022080594,211799
LR,cifar100,cusCNN,determ,0.3,0.007003068923950195,1.8164654e-05,0.00021856454,635397
LR,cifar100,cusCNN,determ,0.5,0.010083436965942383,1.8169801e-05,0.0002197852,1058996
LR,cifar100,cusCNN,determ,0.7,0.013985633850097656,1.8188739e-05,0.00021954098,1482594
LR,cifar100,cusCNN,determ,0.9,0.020232439041137695,1.8168204e-05,0.00021988645,1906192
LR,cifar100,cusCNN,determ,1.0,0.019568920135498047,1.8163566e-05,0.00021986596,2117992
LR,cifar100,resnet18,determ,0.1,0.010706424713134766,6.7828826e-16,1.7854285e-08,1122781
LR,cifar100,resnet18,determ,0.3,0.046826839447021484,2.6019779e-15,1.0209563e-08,3368343
LR,cifar100,resnet18,determ,0.5,0.11236214637756348,1.4347598e-14,2.2512463e-08,5613906
LR,cifar100,resnet18,determ,0.7,0.22407746315002441,3.5855176e-14,3.416293e-08,7859468
LR,cifar100,resnet18,determ,0.9,0.27600669860839844,6.951007e-14,4.1135692e-08,10105030
LR,cifar100,resnet18,determ,1.0,0.299746036529541,8.9367695e-14,4.625744e-08,11227812
LR,mnist,cusMLP,randm_proc,0.1,0.053516387939453125,3.4247014e-07,0.00033785388,46887
LR,mnist,cusMLP,randm_proc,0.3,0.0527801513671875,3.4246983e-07,0.000337943,140662
LR,mnist,cusMLP,randm_proc,0.5,0.05424642562866211,3.4247353e-07,0.00033777577,234437
LR,mnist,cusMLP,randm_proc,0.7,0.05468010902404785,3.4247148e-07,0.0003378222,328211
LR,mnist,cusMLP,randm_proc,0.9,0.054926156997680664,3.4247165e-07,0.0003378088,421986
LR,mnist,cusMLP,randm_proc,1.0,0.05732536315917969,3.424712e-07,0.00033782105,468874
LR,cifar10,cusCNN,randm_proc,0.1,0.055281639099121094,0.00022948437,0.00090945914,207290
LR,cifar10,cusCNN,randm_proc,0.3,0.05714869499206543,0.00022948423,0.00090886257,621870
LR,cifar10,cusCNN,randm_proc,0.5,0.061604976654052734,0.00022948466,0.0009083177,1036451
LR,cifar10,cusCNN,randm_proc,0.7,0.0648186206817627,0.00022948453,0.00090813014,1451031
LR,cifar10,cusCNN,randm_proc,0.9,0.07099342346191406,0.00022948453,0.00090820383,1865611
LR,cifar10,cusCNN,randm_proc,1.0,0.07019186019897461,0.00022948466,0.00090818224,2072902
LR,cifar10,resnet18,randm_proc,0.1,0.010807037353515625,2.8734753e-06,0.00024282876,1118164
LR,cifar10,resnet18,randm_proc,0.3,0.03981161117553711,2.8734596e-06,0.00024186139,3354492
